"ID (do not edit)","Content type","Element type","Source language (EN)","Target language (ZH)"
"{""contentId"":""02d07426-baf2-4fa2-9e5d-c67dcfb05086"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_5"" style=""font-size: 20px;""><span style=""font-size:20px;"">Meeting with </span></p>

<p class=""font_5"" style=""font-size: 20px;""><span style=""font-size:20px;"">Youth Global Network</span></p>","<p class=""font_5"" style=""font-size: 20px;""><span style=""font-size:20px;"">和...見面</span></p><p class=""font_5"" style=""font-size: 20px;""><span style=""font-size:20px;"">全球青年網絡</span></p>"
"{""contentId"":""02faa816-522b-4d2b-b272-54d7c51babca"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_5"" style=""font-size: 20px;""><span style=""font-size:20px;"">School Visit at&nbsp;</span></p>

<p class=""font_5"" style=""font-size: 20px;""><span style=""font-size:20px;"">Hong Chi Morninghope&nbsp;</span></p>","<p class=""font_5"" style=""font-size: 20px;""><span style=""font-size:20px;"">學校參觀於</span></p><p class=""font_5"" style=""font-size: 20px;""><span style=""font-size:20px;"">匡智晨輝</span></p>"
"{""contentId"":""030b18b8-4a0d-452a-a9eb-3864f3809139"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_e6e309f591a647acaaaab3e1646255e9~mv2.png","1af91d_e6e309f591a647acaaaab3e1646255e9~mv2.png"
"{""contentId"":""030b18b8-4a0d-452a-a9eb-3864f3809139"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""030b18b8-4a0d-452a-a9eb-3864f3809139"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""030b18b8-4a0d-452a-a9eb-3864f3809139"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","splash-logo_2x.png","Splash Foundation"
"{""contentId"":""031f6380-0251-47da-8889-ca8cb34bb16b"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_31f4354c3c264fac8e5430e8b4c57158~mv2.jpg","8a7c18_392d4f5441d94d88b9b6500c7c9f5121~mv2.jpg"
"{""contentId"":""031f6380-0251-47da-8889-ca8cb34bb16b"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""031f6380-0251-47da-8889-ca8cb34bb16b"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""031f6380-0251-47da-8889-ca8cb34bb16b"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","PHOTO-2023-11-02-09-11-37.jpg","照片-2023-11-02-09-11-37.jpg"
"{""contentId"":""032e4efe-eb78-4491-9da5-93ee1186597b"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<h1 class=""font_0"" style=""font-size:56px; line-height:1.2em; text-align:center""><span style=""color:#FFFFFF;""><span style=""font-weight:bold""><span style=""letter-spacing:normal""><span style=""font-size:56px"">Our</span></span></span><br />
<span style=""font-weight:bold""><span style=""letter-spacing:normal""><span style=""font-size:56px"">History</span></span></span></span></h1>","<h1 class=""font_0"" style=""font-size:56px; line-height:1.2em; text-align:center""><span style=""color:#FFFFFF;""><span style=""font-weight:bold""><span style=""letter-spacing:normal""><span style=""font-size:56px"">我們的</span></span></span><br><span style=""font-weight:bold""><span style=""letter-spacing:normal""><span style=""font-size:56px"">歷史</span></span></span></span></h1>"
"{""contentId"":""033c29a4-b359-40f3-abb0-30ff78045cea"",""fieldId"":""compFeatures.stylableButton.data.label"",""sequencePath"":[]}","TEXT","wixui.StylableButton","Education","教育"
"{""contentId"":""0364024c-5d24-457d-bdc8-29b612219c16"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_768b8701c7474e02ba8ae10c2bf12b4c~mv2.jpeg","1af91d_768b8701c7474e02ba8ae10c2bf12b4c~mv2.jpeg"
"{""contentId"":""0364024c-5d24-457d-bdc8-29b612219c16"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""0364024c-5d24-457d-bdc8-29b612219c16"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""0364024c-5d24-457d-bdc8-29b612219c16"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","Vic Lee 2.jpeg","Vic Lee"
"{""contentId"":""0364dc7d-27aa-47e7-8997-70c92b060971"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_8"" style=""font-size: 17px; line-height: normal;""><span style=""font-size:17px;""><span style=""letter-spacing:0em"">Director of Stanford Neurodiversity Project</span></span></p>

<p class=""font_8"" style=""font-size: 17px;""><span style=""font-size:17px;""><span style=""letter-spacing:0em"">Director of Neurodiversity Clinic&nbsp;</span></span></p>","<p class=""font_8"" style=""font-size:17px; line-height:normal""><span style=""font-size:17px""><span style=""letter-spacing:0em"">史丹佛大學</span></span><span style=""color:#FFFFFF""><span style=""font-size:18px"">腦力多元</span></span><span style=""font-size:17px""><span style=""letter-spacing:0em"">化計畫主任</span></span></p>

<p class=""font_8"" style=""font-size:17px""><span style=""color:#FFFFFF""><span style=""font-size:18px"">腦力多元</span></span><span style=""font-size:17px""><span style=""letter-spacing:0em"">化診所主任</span></span></p>"
"{""contentId"":""037ee2fb-253d-4ae5-a79e-6a4d782b23ce"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_8"" style=""font-size:16px; line-height:1.5em""><span style=""font-size:16px"">YMCA Christian Academy is a school committed to cultivating a learning environment that celebrates neurodiversity and empowers students of all abilities to thrive.&nbsp; In one of its assembly, the students shared what neurodiversity is, how to help each other to thrive and how to manage differences in school. &nbsp;</span></p>","<p class=""font_8"" style=""font-size:16px; line-height:1.5em""><span style=""font-size:16px"">YMCA Christian Academy 是一所致力於營造一個宣揚神經多樣性並幫助各種能力的學生茁壯成長的學習環境的學校。在一次集會上，學生們分享了什麼是神經多樣性、如何互相幫助、如何處理學校中的差異。 </span></p>"
"{""contentId"":""037f9880-67c5-4434-b241-b3a46ce093ed"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_9990c2ef7f1a460b8bfc65d33cf1fea5~mv2.png",
"{""contentId"":""037f9880-67c5-4434-b241-b3a46ce093ed"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""037f9880-67c5-4434-b241-b3a46ce093ed"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""03b65acb-8ec9-4653-a074-ff63853d73d6"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<h2 class=""font_0"" style=""font-size:56px; line-height:normal; text-align:center""><span style=""color:#0F2C93""><span style=""font-weight:bold""><span style=""letter-spacing:normal""><span style=""font-size:56px"">Positive Psychiatry Framework</span></span></span></span></h2>","<h2 class=""font_0"" style=""font-size:56px; line-height:normal; text-align:center""><span style=""color:#0F2C93""><span style=""font-weight:bold""><span style=""letter-spacing:normal""><span style=""font-size:56px"">正向的精神科框架</span></span></span></span></h2>"
"{""contentId"":""04331f1b-5bfd-4bf2-b044-70ff13c5b913"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_4"" style=""font-size:26px; line-height:normal; text-align:center""><span style=""font-weight:bold;""><span style=""color:#839F2A;""><span style=""letter-spacing:normal""><span style=""font-size:26px"">Neurokin</span></span></span></span></p>","<p class=""font_4"" style=""font-size:26px; line-height:normal; text-align:center""><span style=""font-weight:bold""><span style=""color:#839F2A""><span style=""letter-spacing:normal""><span style=""font-size:26px"">神經性質類</span></span></span></span></p>"
"{""contentId"":""051e6a43-f40d-43ac-934d-9e4b4e6c9117"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_2"" style=""font-size:38px; line-height:normal; text-align:center""><span style=""letter-spacing:normal""><span style=""font-family:avenir-lt-w01_85-heavy1475544,sans-serif""><span style=""font-size:38px"">3</span></span></span></p>",
"{""contentId"":""05ed02a2-0b22-40f4-b1c1-f6b41ff667d1"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_29f3e2165a8543108cf88058bbf03fd3~mv2.png",
"{""contentId"":""05ed02a2-0b22-40f4-b1c1-f6b41ff667d1"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""05ed02a2-0b22-40f4-b1c1-f6b41ff667d1"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""05ed02a2-0b22-40f4-b1c1-f6b41ff667d1"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","Screenshot 2024-06-03 at 11.53.54 PM.png",
"{""contentId"":""065fae0e-766a-4772-8510-2fc4e972fc72"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<h2 class=""font_0"" style=""font-size:56px; line-height:normal""><span style=""color:#00ACBB;""><span style=""font-size:56px"">Cindy Choi</span></span></h2>",
"{""contentId"":""069463b7-7a74-4ea3-8a43-013148f00d7e"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_9 color_11"" style=""text-align: center; font-size: 15px;""><span style=""font-size:15px;""><span style=""font-weight:bold;""><span class=""color_36"">&copy; 2024 by NDAHK. All rights reserved.</span></span></span></p>","<p class=""font_9 color_11"" style=""text-align: center; font-size: 15px;""><span style=""font-size:15px;""><span style=""font-weight:bold;""><span class=""color_36"">© 2024 NDAHK。版權所有。</span></span></span></p>"
"{""contentId"":""06b873f2-d32a-4379-9999-a49c06442a06"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<ul class=""font_8"">
	<li>
	<p class=""font_8"">By 2030, achieve full and productive employment and decent work for all women and men, including for young people and persons with disabilities, and equal pay for work of equal value.</p>
	</li>
</ul>","<ul class=""font_8"">
	<li>
	<p class=""font_8"">到2030年，實現所有女性和男性（包括年輕人和殘疾人）充分的生產性就業和體面工作，以及同值工作同等報酬。</p>
	</li>
</ul>"
"{""contentId"":""07307c78-fa00-4d82-ae94-774b9ec35444"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<h2 class=""font_0"" style=""font-size:56px; line-height:normal; text-align:center""><span style=""color:#0F2C93""><span style=""font-weight:bold""><span style=""letter-spacing:normal""><span style=""font-size:56px"">Our Organization Supporters</span></span></span></span></h2>","<h2 class=""font_0"" style=""font-size:56px; line-height:normal; text-align:center""><span style=""color:#0F2C93""><span style=""font-weight:bold""><span style=""letter-spacing:normal""><span style=""font-size:56px"">我們的組織支持者</span></span></span></span></h2>"
"{""contentId"":""0752ea99-2f04-4676-b1d9-e7e051264d16"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_efcafcdbedb542b89fc46cc55184e81d~mv2.png","1af91d_efcafcdbedb542b89fc46cc55184e81d~mv2.png"
"{""contentId"":""0752ea99-2f04-4676-b1d9-e7e051264d16"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""0752ea99-2f04-4676-b1d9-e7e051264d16"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""0752ea99-2f04-4676-b1d9-e7e051264d16"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","Stanford_Neurodiversity_Project-removebg-preview.png","Stanley_Neurodiversity_Project-removebg-preview.png"
"{""contentId"":""07619e18-240a-43eb-9f1e-992fa8ca5c2e"",""fieldId"":""compFeatures.stylableButton.data.label"",""sequencePath"":[]}","TEXT","wixui.StylableButton","There are so many ways!","有很多方法！"
"{""contentId"":""089b9e0b-48b6-4ed5-b85e-42c11e46acf7"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_8fa48a0c2b8b471781be7e631e0e302d~mv2.png","1af91d_8fa48a0c2b8b471781be7e631e0e302d~mv2.png"
"{""contentId"":""089b9e0b-48b6-4ed5-b85e-42c11e46acf7"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""089b9e0b-48b6-4ed5-b85e-42c11e46acf7"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""089b9e0b-48b6-4ed5-b85e-42c11e46acf7"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","lOVEXPRESS.png","愛・傳遞"
"{""contentId"":""09197823-9a61-404a-8f9e-75c5e6efad3d"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_8"" style=""font-size:16px; line-height:1.5em""><span style=""font-size:16px"">YGN was established in 2013 as a non - profit organization that conveys and network different resources globally and locally to expand the horizons of youth.&nbsp; We were glad to learn about their journey from its Co-Presidents, Dr. Bill Tsang.&nbsp;</span></p>","<p class=""font_8"" style=""font-size:16px; line-height:1.5em""><span style=""font-size:16px"">YGN成立於2013年，是一家非營利組織，致力於在全球和本地傳遞和網路不同的資源，以拓展年輕人的視野。我們很高興從聯合主席曾比爾博士那裡了解他們的旅程。 </span></p>"
"{""contentId"":""09383da0-f9c3-43b3-a4b2-3f984fc34102"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_4"" style=""font-size:26px; line-height:normal; text-align:center""><span style=""font-weight:bold;""><span style=""letter-spacing:normal""><span style=""font-size:26px"">Neurominority</span></span></span></p>","<p class=""font_4"" style=""font-size:26px; line-height:normal; text-align:center""><span style=""font-weight:bold""><span style=""letter-spacing:normal""><span style=""font-size:26px""><a href=""https://www.facebook.com/hashtag/%E8%85%A6%E5%8A%9B%E5%A4%9A%E5%85%83%E5%8C%96?__eep__=6&amp;__cft__[0]=AZWD4e4ahAY30jKcpAZgHJ0XbZrQQFUlbQ1uSWcx8_WDgoV9H1GyzsThGwHEicgUVk7ZGOequCBcHH70XvFFRAoUPiSyEpQyqGzDjsTHRFSga-DBWvMKq88iaVfQpiTovOOe0yH5TW59Y8dHlgfqk5serDFaRjZ3GR3QGbKb5rNbkA&amp;__tn__=*NK-R"">腦力多元少數派</a></span></span></span></p>"
"{""contentId"":""09ccc977-7db2-4dd1-956a-327d75aca265"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_2"" style=""font-size:38px; line-height:normal; text-align:center""><span style=""letter-spacing:normal""><span style=""font-family:avenir-lt-w01_85-heavy1475544,sans-serif""><span style=""font-size:38px"">2</span></span></span></p>","<p class=""font_2"" style=""font-size:38px; line-height:normal; text-align:center""><span style=""letter-spacing:normal""><span style=""font-family:avenir-lt-w01_85-heavy1475544,sans-serif""><span style=""font-size:38px"">2</span></span></span></p>"
"{""contentId"":""09e725c2-7777-4bc4-ace3-c4364654ca2b"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_5b279dda8ecf4b5290288f177e4861dc~mv2.png","1af91d_5b279dda8ecf4b5290288f177e4861dc~mv2.png"
"{""contentId"":""09e725c2-7777-4bc4-ace3-c4364654ca2b"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""09e725c2-7777-4bc4-ace3-c4364654ca2b"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""09e725c2-7777-4bc4-ace3-c4364654ca2b"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","Screen Shot 2024-06-05 at 4.50.21 PM.png","Cindy Choi"
"{""contentId"":""09f03ddb-5c07-4ba6-b2b6-9b663a0817d3"",""fieldId"":""compFeatures.stylableButton.data.label"",""sequencePath"":[]}","TEXT","wixui.StylableButton","Download","下載"
"{""contentId"":""0a0030b2-e43b-45ee-be78-c281830f47eb"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<h1 class=""font_0"" style=""font-size:56px; line-height:1.2em; text-align:center""><span style=""color:#FFFFFF;""><span style=""font-weight:bold""><span style=""letter-spacing:normal""><span style=""font-size:56px"">Our</span></span></span><br />
<span style=""font-weight: 700;"">Team</span></span></h1>","<h1 class=""font_0"" style=""font-size:56px; line-height:1.2em; text-align:center""><span style=""color:#FFFFFF;""><span style=""font-weight:bold""><span style=""letter-spacing:normal""><span style=""font-size:56px"">我們的</span></span></span><br><span style=""font-weight: 700;"">團隊</span></span></h1>"
"{""contentId"":""0ae0c7e4-88c3-4490-8733-a12bdb77a5f5"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<h2 class=""font_0"" style=""font-size:56px; line-height:normal""><span style=""color:#8B0000;""><span style=""font-size:56px"">John Kim</span></span></h2>","<h2 class=""font_0"" style=""font-size:56px; line-height:normal"">Vic Lee</h2>"
"{""contentId"":""0b9ef3bd-4096-41a6-be6f-c510687d843c"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_8a17fdc33ad142d380eb22664893ef1c~mv2.jpeg","8a7c18_392d4f5441d94d88b9b6500c7c9f5121~mv2.jpg"
"{""contentId"":""0b9ef3bd-4096-41a6-be6f-c510687d843c"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""0b9ef3bd-4096-41a6-be6f-c510687d843c"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""0b9ef3bd-4096-41a6-be6f-c510687d843c"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","HASS .jpeg","哈斯.jpeg"
